date,item,kolkata,delhi,mumbai,chennai
2025-01-04,PLATES 10 MM,53900,56380,56490,59040
2025-01-20,TMT 10 MM,54590,58520,58760,57360
2025-01-20,TMT 25 MM,54620,57340,58160,56770
2025-01-20,ANGLES 75X75X6 MM,56430,58400,58470,58210
2025-01-20,CHANNELS 150X75 MM,59370,59210,59310,60300
2025-01-20,PLATES 10 MM,58000,57000,56490,57860
2025-01-20,PLATES 25 MM,58100,57000,56490,57860
2025-02-04,TMT 10 MM,54700,59400,58470,57600
2025-02-04,ANGLES 75X75X6 MM,57860,59440,59260,88210
2025-02-04,CHANNELS 150X75 MM,58480,60040,59680,60300
2025-02-04,PLATES 10 MM,58630,56440,58560,57860
2025-03-03,TMT 10 MM,55070,60310,59760,58720
2025-03-03,ANGLES 75X75X6 MM,57520,58940,58550,57720
2025-03-03,PLATES 25 MM,59380,59830,59800,61160
2025-03-19,TMT 10 MM,56480,61350,60460,59540
2025-03-19,TMT 25 MM,56160,59760,60100,58950
2025-03-19,ANGLES 75X75X6 MM,58430,59260,58890,57720
2025-03-19,CHANNELS 150X75 MM,57570,59680,59870,60190
2025-03-19,PLATES 10 MM,58130,58770,60540,59620
2025-03-19,PLATES 25 MM,60380,61250,61870,61500
2025-04-05,TMT 10 MM,59130,66000,65100,60600
2025-04-05,TMT 25 MM,59220,64610,62570,60010
2025-04-05,ANGLES 75X75X6 MM,60950,61810,60250,58460
2025-04-05,PLATES 25 MM,63700,64460,63640,62440
2025-05-19,TMT 25 MM,57870,62420,59100,60010
2025-05-19,ANGLES 75X75X6 MM,59420,59180,59540,58170
2025-05-19,PLATES 10 MM,61250,60640,62490,62560
2025-05-19,PLATES 25 MM,63500,61950,64230,63510
2025-06-05,TMT 25 MM,57370,60520,57200,88750
2025-06-05,ANGLES 75X75X6 MM,58980,58920,57780,57130
2025-06-05,PLATES 10 MM,60500,60830,61980,62560
2025-06-19,TMT 10 MM,56000,59050,95950,59130
2025-06-19,TMT 25 MM,56090,57760,56430,58750
2025-06-19,PLATES 10 MM,59580,60300,61460,62560
2025-06-19,PLATES 25 MM,61830,62070,62460,63510
2025-07-04,TMT 10 MM,55190,57760,56050,58010
2025-07-04,PLATES 10 MM,58320,60660,60650,62560
2025-07-04,PLATES 25 MM,60530,62190,62460,63510
2025-07-19,TMT 10 MM,52130,55930,53660,56900
2025-07-19,TMT 25 MM,52430,54680,53020,56310
2025-07-19,ANGLES 75X75X6 MM,54060,56360,55260,55950
2025-07-19,CHANNELS 150X75 MM,53820,57650,55770,57130
2025-07-19,PLATES 25 MM,58500,60070,59510,62560
2025-08-05,TMT 10 MM,52210,57680,54030,55190
2025-08-05,TMT 25 MM,52510,55810,53410,54810
2025-08-05,ANGLES 75X75X6 MM,54070,57020,56100,55310
2025-08-05,CHANNELS 150X75 MM,53230,56950,57000,56170
2025-08-05,PLATES 10 MM,56750,61650,60180,61260
2025-08-19,TMT 10 MM,51640,56620,55740,55190
2025-08-19,PLATES 10 MM,56330,60660,59740,61090
2025-08-19,PLATES 25 MM,58830,62660,62020,62570
2025-09-05,TMT 10 MM,48450,56410,54560,55190
2025-09-05,TMT 25 MM,48580,55230,54050,54810
2025-09-05,ANGLES 75X75X6 MM,52660,56050,95530,55310
2025-09-05,CHANNELS 150X75 MM,51950,56920,56180,56170
2025-09-05,PLATES 25 MM,56820,61010,62020,62680
2025-09-19,TMT 10 MM,51090,55370,54280,55190
2025-09-19,ANGLES 75X75X6 MM,54480,56570,55470,56310
2025-09-19,CHANNELS 150X75 MM,53766,55630,56930,56170
2025-09-19,PLATES 10 MM,55830,58010,59290,60910
2025-09-19,PLATES 25 MM,58330,60350,62170,62680
2025-10-06,TMT 25 MM,50160,52050,53340,54810
2025-10-06,ANGLES 75X75X6 MM,52410,58340,54670,54560
2025-10-06,CHANNELS 150X75 MM,51880,55350,55370,55410
2025-10-06,PLATES 25 MM,56390,60300,81720,61500
2025-10-22,TMT 10 MM,50520,53710,52200,55190
2025-10-22,TMT 25 MM,50820,51940,51760,54810
2025-10-22,ANGLES 75X75X6 MM,56240,54680,53980,54880
